day,timestamp,action,actor,amount,rewardRatePioneersScaled,rewardRateTakadaoScaled,periodFinish,revenuePerNftOwnedByPioneers,takadaoRevenueScaled,totalSupply,balanceOfActor,earnedViewBefore,approvedDeposits
18,1555201,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,21144694,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,9,21144694,10777987443
18,1555201,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,9397642,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,4,9397642,10768589801
18,1555201,CLAIM,0xd762E1dF1a61F5b70b30Cd74d3127489Af15D974,77530546,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,33,77530546,10691059255
18,1555201,CLAIM,0xc3D8008aE66FeA0044187cc7cd0E3Fb202FD4041,49337620,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,21,49337620,10641721635
18,1555201,TAKADAO_CLAIM,0x078f490882dF07cf2DF165C57EA0901ad123FE63,163675598,3031842010173245482188,1010614003391081827392,4147201,11562035931248553637033531,805488503210315903377324800,209,0,163675598,10478046037
19,1641601,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,700000000,3133326906130433595744,1044442302043477865244,4233601,12815390714401512534933259,892805553103305373263993600,209,0,0,11178046037
20,1728001,DEPOSIT,0x8Be46BE34e3CCd3BCdDabCe1E7Ed397CB8Cf8731,500000000,3173558601852011735145,1057852867284003911711,4320001,14110699062198974078819773,983045367999861860821075200,209,0,0,11678046037
20,1728001,CLAIM,0x5935897A39AFABbedA5a599D38236E7Df151C8b8,127433156,3173558601852011735145,1057852867284003911711,4320001,14110699062198974078819773,983045367999861860821075200,209,50,127433156,11550612881
20,1728001,CLAIM,0x8105660Af15a4eB54Fa0571BC84DFBEC0294A99A,76459893,3173558601852011735145,1057852867284003911711,4320001,14110699062198974078819773,983045367999861860821075200,209,30,76459893,11474152988
20,1728001,CLAIM,0xa78Cac12f68179fd780Ae347F8D4F170FC615D0C,45875936,3173558601852011735145,1057852867284003911711,4320001,14110699062198974078819773,983045367999861860821075200,209,18,45875936,11428277052
20,1728001,CLAIM,0x6f64f6D0d58ACABD288774e993d9caCFa3FC88eE,17840641,3173558601852011735145,1057852867284003911711,4320001,14110699062198974078819773,983045367999861860821075200,209,7,17840641,11410436411
20,1728001,CLAIM,0x949e63296823174a1d244FfbC90EC87d75C40936,63716578,3173558601852011735145,1057852867284003911711,4320001,14110699062198974078819773,983045367999861860821075200,209,25,63716578,11346719833
20,1728001,CLAIM,0x4Eb7Cb5411D13014A69EDc089AA75a6E1fd0Aa68,30583957,3173558601852011735145,1057852867284003911711,4320001,14110699062198974078819773,983045367999861860821075200,209,12,30583957,11316135876
20,1728001,CLAIM,0x5F51853276D59b6C99D2042B16B92861C52542d1,22937968,3173558601852011735145,1057852867284003911711,4320001,14110699062198974078819773,983045367999861860821075200,209,9,22937968,11293197908
20,1728001,CLAIM,0x19e119167095b4F035A906eAFBb66d733545E208,10194652,3173558601852011735145,1057852867284003911711,4320001,14110699062198974078819773,983045367999861860821075200,209,4,10194652,11283003256
